genre,title,href,author,author_href,difficulty,raiting
Fan Fiction,Albus Potter:The next Generation Year 1,https://chooseyourstory.com/story/Albus_Potter_0x3a_The_next_Generation_Year_1.aspx,Ipod3000,https://chooseyourstory.com/member/?Username=Ipod3000,3,3.51
Fan Fiction,AQW: Prologue,https://chooseyourstory.com/story/AQW_0x3a__Prologue.aspx,Xt1000305,https://chooseyourstory.com/member/?Username=Xt1000305,5,4.53
Fan Fiction,Attack of the Grue,https://chooseyourstory.com/story/Attack_of_the_Grue.aspx,Snafuu,https://chooseyourstory.com/member/?Username=Snafuu,4,3.06
Fan Fiction,Azula and Zuko,https://chooseyourstory.com/story/Azula_and_Zuko.aspx,WouldntItBeNice,https://chooseyourstory.com/member/?Username=WouldntItBeNice,3,5.68
Fan Fiction,Cantina Band: Dusty Death in D-Minor,https://chooseyourstory.com/story/Cantina_Band_0x3a__Dusty_Death_in_D-Minor.aspx,jorose,https://chooseyourstory.com/member/?Username=jorose,4,3.78
Fan Fiction,Cantina Band: The Assassins' New Tune,https://chooseyourstory.com/story/Cantina_Band_0x3a__The_Assassins'_New_Tune.aspx,jorose,https://chooseyourstory.com/member/?Username=jorose,5,4.28
Fan Fiction,Choose Your Own Agar.io,https://chooseyourstory.com/story/Choose_Your_Own_Agar_0x2e_io.aspx,GMB13carat,https://chooseyourstory.com/member/?Username=GMB13carat,3,3.70
Fan Fiction,Ciara's Game,https://chooseyourstory.com/story/Ciara's_Game.aspx,simplesabley,https://chooseyourstory.com/member/?Username=simplesabley,4,6.10
Fan Fiction,Clover Seven: Ace Attorney - Episode 1: Turnabout Museum!,https://chooseyourstory.com/story/Clover_Seven_0x3a__Ace_Attorney_-_Episode_1_0x3a__Turnabout_Museum!.aspx,SilverMan,https://chooseyourstory.com/member/?Username=SilverMan,6,5.25
Fan Fiction,Clover Seven: Ace Attorney - Episode 2: The Party Killer Turnabout,https://chooseyourstory.com/story/Clover_Seven_0x3a__Ace_Attorney_-_Episode_2_0x3a__The_Party_Killer_Turnabout.aspx,SilverMan,https://chooseyourstory.com/member/?Username=SilverMan,7,5.09
Fan Fiction,Dark Nights,https://chooseyourstory.com/story/Dark_Nights.aspx,Chris113022,https://chooseyourstory.com/member/?Username=Chris113022,3,5.66
Fan Fiction,Daydream Syndrome,https://chooseyourstory.com/story/Daydream_Syndrome.aspx,Sean,https://chooseyourstory.com/member/?Username=Sean,6,5.44
Fan Fiction,Disney Plus and Thrust,https://chooseyourstory.com/story/Disney_Plus_and_Thrust.aspx,TheChef,https://chooseyourstory.com/member/?Username=TheChef,7,4.62
Fan Fiction,Dr. Horrible's CYA,https://chooseyourstory.com/story/Dr_0x2e__Horrible's_CYA.aspx,MMA2013,https://chooseyourstory.com/member/?Username=MMA2013,1,3.71
